"Accession","4087_10_255_LT","4088_12_259","4089_24_270","4107_44_268_LT","4095_2_265","4096_15_260","4090_22_302","4091_23_282","4092_1_308","4093_3_316","4094_14_320","4108_42_297","4109_34_301","4110_18_311","4111_29_305","4112_35_321","4113_17_277","4114_21_267","4115_25_275","4116_20_286","4127_39_304_LT","4128_33_280","4129_31_314","4130_52_331","4131_47_251","4132_55_269","4133_51_258","4134_37_287","4135_45_303","4136_43_299","4147_64_330_LT","4148_62_324"
"A0A3Q1M2L8|A0A3Q1M2L8_BOVIN","708674.6528","651387.4922","640716.2575","605496.1142","462056.3996","596891.5803","273604.4556","394407.5622","372989.5719","330667.8943","337589.6705","632592.0981","604599.6254","481858.022","534242.1317","548742.2143","434293.6428","534974.2717","377543.0689","407411.9271","397311.2066","619823.4328","461125.5764","588833.1939","516580.9029","422994.9332","593874.6867","470973.15","603675.9473","597141.1017","659786.5514","812408.89"
"Q3ZC07|ACTC_BOVIN;A0A3Q1M558|A0A3Q1M558_BOVIN;G8JKX4|G8JKX4_BOVIN;P60712|ACTB_BOVIN;Q5E9B5|ACTH_BOVIN;A0A452DJE4|A0A452DJE4_BOVIN;A0A3Q1NKP5|A0A3Q1NKP5_BOVIN","43815348.12","77775446.18","29781602.01","51451617","38834227.62","45409152.51","85496006.12","54179612.23","76447864.74","54079415.27","48040680.67","37724931.3","55162289.42","32403737.56","60325364.79","54716847.94","37505828.96","63223584.14","43973070.74","31270801.73","30505421.75","52353566.44","35614246.75","43615578.37","30286412.44","55827616.33","39881507.98","52794107.8","47972250.28","19705375.75","19975536.42","9576857.97"
"A0A3Q1M9X9|A0A3Q1M9X9_BOVIN","677173.2346","533429.6226","859219.842","620459.4701","592163.7342","591271.2204","526244.6038","591654.074","449683.8002","513234.397","591128.6926","706116.5051","681938.2333","785997.207","558798.5953","612036.0154","715068.2378","703118.8327","506056.8283","685604.4932","678853.0189","657863.6466","630328.763","785187.1554","609751.3319","643984.4135","612109.9697","449193.5246","593904.8068","684276.9361","908777.8843","929041.9508"
"E1B9H3|E1B9H3_BOVIN","49039.30892","44377.63102","24369.59976","317906.3258","45175.10218","23027.27547","36526.07123","49045.67657","49133.02938","28748.89421","51801.8168","535410.3731","192892.8726","59454.74341","340744.1233","677197.1302","69407.47328","75861.21024","512131.5741","48563.65483","421365.7849","214301.6559","289363.6427","936547.8833","730380.797","539308.8958","548897.7902","590450.9511","48147.10302","469945.1545","67327.09855","479808.3693"
"A0A3Q1LYL7|A0A3Q1LYL7_BOVIN","347134.3154","351657.5499","357277.9232","2556628.161","477243.0675","5081915.481","394214.2718","382687.1234","370737.2595","1676402.765","394828.4023","2646738.914","2531847.69","428392.3598","1952849.661","3113245.486","364673.853","451737.8249","2616504.739","248018.425","2086452.581","2626541.674","2477596.026","3036953.566","4436895.533","3333801.859","3520600.288","3048658.445","2926071.117","2752396.09","3477269.291","3068808.167"
"A0A452DIB2|A0A452DIB2_BOVIN","175169.0846","32584.26987","20163.31949","723478.5636","62168.4703","3253.146671","55969.82832","24322.82237","107935.3663","64847.26442","60854.59501","1578220.838","339282.0067","91191.98018","778049.0879","1794993.938","39050.45337","36789.76994","858117.6046","125333.2359","350510.3687","604405.3967","97716.41565","1718408.001","1634445.274","634978.0423","977571.6104","1911674.413","627353.7177","1067298.27","556071.8387","734270.2143"
"E1BPM0|E1BPM0_BOVIN","2591200.385","2716987.228","3020541.185","3090999.719","2397320.589","3305150.804","2657290.305","2711652.778","2066380.892","2145813.576","2324889.396","3835969.324","3181011.919","2701164.915","3452131.446","4126008.985","2483228.259","3435421.644","2822372.071","3123964.4","3004210.882","3555405.623","3075095.114","3514221.267","2861230.042","2880578.566","2687949.707","3393123.546","2976032.24","3329797.721","3077565.744","3872096.488"
"A0A3Q1M861|A0A3Q1M861_BOVIN","121604.4887","194880.8925","189254.983","224132.3658","181687.816","175888.5599","135658.4119","149797.5087","179598.4431","98579.6984","110322.0016","110268.2363","213873.8179","121111.869","170369.0872","132244.5692","150147.4003","159509.0738","187278.585","145072.2871","217646.1358","216365.5635","232033.1921","195274.2601","191914.6793","219834.9667","211878.1748","135407.1093","232163.5218","160181.4421","168127.8862","202352.5137"
"F1MWF1|F1MWF1_BOVIN","44149.1436","66120.53419","297272.4589","175859.7936","15076.64997","28751.28132","26005.22954","52657.0228","34938.5978","146003.6074","2695.541973","276756.9111","109299.9947","34974.78287","253615.9213","387091.0528","38804.42872","61222.7379","369050.6909","51093.73621","154453.2247","90754.02549","415357","643030.6378","635469.8566","540567.424","444151.1377","456385.106","80871.81827","433418.0476","230154.6074","458775.2051"
"A0A3Q1MN27|A0A3Q1MN27_BOVIN","2540.237371","19617.81957","26439.49264","0","0","26795.96989","29100.88779","4239.095464","2833.633017","25051.84753","0","0","0","0","0","0","0","0","0","0","0","0","128282.5019","0","190959.2336","34790.27275","29048.66099","32925.8825","4813.976973","12111.31452","31833.45473","22665.13457"
"E1BMQ3|E1BMQ3_BOVIN","4028.878312","6655.747883","14213.38251","125301.5898","12850.78518","34926.83751","16698.33555","14081.97357","16910.35479","18027.3585","18969.18736","144593.0167","161292.4939","10407.6568","74680.12864","201041.6047","6065.963469","19818.35545","230525.5696","14009.50561","214397.1855","150950.679","213085.4506","346257.3184","462156.512","316773.5026","285495.546","333965.7393","25160.39472","255611.9974","36841.25588","244182.1696"
"A0A3Q1MG71|A0A3Q1MG71_BOVIN","891.1301347","4136.71223","0","43623.30055","8939.862202","842.7505484","11457.63531","596.5755306","681.2005714","0","1321.98056","115160.3315","31355.11761","1758.924826","41519.30912","140129.0952","880.3797071","3985.510277","57466.16639","5115.790964","191798.2818","79684.09122","500706.5037","84389.2853","214441.9743","86740.50047","43200.13875","629930.9028","919.6534316","533130.7383","17123.9801","256544.6342"
"A0A3Q1LMT1|A0A3Q1LMT1_BOVIN;A0A3Q1LT82|A0A3Q1LT82_BOVIN","19521.74639","17600.42361","470.9155413","10396.18615","5554.820527","2617.543198","17924.76244","0","8775.07506","14454.02397","11328.18444","4918.375159","15676.04358","0.261402784","10269.30512","7198.911857","3259.94621","12172.42889","2576.210413","0.351739582","7272.606535","10480.46172","2826.37663","3890.765585","11198.20088","10299.61178","5719.704045","10480.34368","6257.59971","3538.893475","0","0"
"Q3ZCJ2|AK1A1_BOVIN","269022.6561","108232.6964","72822.93068","636178.3951","116251.5501","67006.81191","290842.5246","66039.57308","17415.46191","237442.2794","136509.7364","532349.7279","855035.6801","115854.2033","338795.9038","1464705.425","119837.0621","157488.4091","582335.3936","37830.85171","2040632.061","810639.0132","2202082.561","1944006.806","1737683.761","2177959.356","1984715.446","803518.5304","112797.0692","1579391.508","458927.2278","2015677.192"
"G3MYD1|G3MYD1_BOVIN","28840.34873","21227.54044","208.3019703","125714.7665","7122.714159","217.4810031","15481.81258","20678.18071","18282.76435","3144.139976","20394.6275","158561.259","88838.52087","15636.16997","109332.4937","182138.9229","19415.34352","51854.29553","321104.7138","48679.18981","266791.6892","178583.2853","324471.4019","151820.6263","663248.2269","645268.1127","1379117.721","364237.1647","23380.36676","221007.6891","24203.70394","1195370.222"
"F1N048|F1N048_BOVIN","82613.31347","766808.7332","1009139.758","912587.6467","593717.518","607895.738","786710.4632","927574.9614","632173.5993","138985.3096","684896.2605","6095.763994","150253.19","166050.9266","2407.429816","21357.00911","1176810.877","814260.1754","662790.3311","527635.1889","793155.8701","214007.9513","662316.0569","367965.5863","59805.91634","428753.8026","570540.3041","12607.92763","30909.01171","251641.1317","597383.8722","123953.9019"
"E1BIH2|E1BIH2_BOVIN","124893.8539","212939.2729","127904.2504","142673.1229","272289.9416","141283.9508","222273.9256","291435.3983","293606.4958","119938.9081","91235.30929","80265.96263","97970.29908","163153.6975","149206.5955","51574.51278","70441.19283","83369.69463","163857.4689","99832.64982","97373.63615","101187.1815","93153.56084","112691.8045","131044.3718","158971.0813","118575.8908","138366.4457","77124.70776","175754.6641","32536.81986","52868.04601"
"A0A3Q1MFG3|A0A3Q1MFG3_BOVIN","5411076.978","6307521.068","10893855.72","10942981.34","3466901.469","7048250.126","8157610.265","1395361.018","405150.3217","5044830.439","4548264.339","7263976.681","19109944.63","4694806.005","5922032.569","18603074.56","4129832.489","3361450.355","5374224.463","1688380.71","22715306.14","13837201.85","27384758.56","29863930.74","14502591.05","31466733.03","25276593.67","7641930.966","12523781.54","15729329.23","22624476.37","21103543.11"
"Q2TBX6|PSB1_BOVIN","213130.2942","211577.478","90933.3496","68017.0889","67996.62596","32000.63937","316577.4627","253983.4898","303116.0902","133963.4437","234829.5623","211127.4103","64435.44523","180236.399","117320.7445","83945.43897","277724.1404","203083.6985","103047.6313","293819.0016","213769.6693","92558.88563","117153.5074","126931.6268","173049.07","278900.478","137635.7659","118775.9728","119545.6776","76151.42801","111237.3717","226533.041"
"F1MF78|F1MF78_BOVIN","29641.91961","17375.67972","14615.22444","91241.45702","34067.95925","32727.67434","23063.39644","51740.74467","24206.34996","16970.9833","22899.55868","136523.6544","81503.75751","16992.69158","54511.35682","213679.341","26315.9391","22829.18713","44274.3139","12352.69306","212593.2927","168712.0026","272023.5334","160169.0313","269619.9527","154535.5357","205148.4152","323485.1938","36166.87698","346195.3905","86146.63771","167025.7632"
"E1BA44|E1BA44_BOVIN","7994.029182","21104.09124","5110.258795","70741.33912","8282.389917","5048.833544","5693.340358","7782.96451","9807.911006","3758.101963","8731.57001","80334.61265","66696.00363","13120.68551","21460.96605","62945.74281","11951.28401","15752.39254","45691.95772","3706.967017","135365.3673","90648.7399","104891.9826","176857.6748","114766.8864","210678.8608","192643.8483","55355.99108","36083.0864","88700.44201","65621.78122","32220.14989"
"A0A3Q1M1N7|A0A3Q1M1N7_BOVIN","50100.39902","32484.13626","5019.5321","34417.13484","39727.42415","20470.64686","11526.96651","4490.307807","13648.98325","7037.05945","33677.36955","55484.99343","27215.07778","58100.69551","48014.83924","34542.91698","62755.77507","14745.61344","60566.23013","57374.27522","46057.36459","19653.86473","31430.90623","56403.68159","27554.46377","29960.93196","39800.55049","26759.88504","20768.64897","52787.017","31380.01667","65900.55064"
"A0A3Q1LMS5|A0A3Q1LMS5_BOVIN;A0A3Q1M8L6|A0A3Q1M8L6_BOVIN;P19120|HSP7C_BOVIN;A7E3Q2|A7E3Q2_BOVIN","2752799.041","2991853.924","3427809.179","3151101.139","2823773.659","3214859.394","2853353.429","3107783.695","2822901.893","2659419.521","2830938.602","2769488.074","3754453.083","3017128.342","3108660.401","3020612.45","3140480.831","3170134.736","3190524.69","2963844.971","3355924.771","3325359.817","2977672.537","2542230.297","2566395.527","2942734.853","2955053.789","2604420.772","4098126.372","2526649.29","3950592.735","3009478.148"
"A0A3Q1M1P8|A0A3Q1M1P8_BOVIN","3215.337207","1310.930424","0","0","0","0","0","0","0","0","0","0","0","0","2546.911165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Q29RK1|CISY_BOVIN","3167881.341","2450824.377","1465412.206","5081729.388","5462956.247","6814776.524","4115570.642","3314746.239","1878550.166","3877752.265","4832425.454","2615014.196","4380771.14","3264869.465","3295075.841","4362410.188","5045056.683","3725765.178","2861404.401","3744759.268","4865583.194","3193801.167","5216390.407","4442138.289","3988645.554","3521854.098","4372050.921","3038543.487","3744231.772","3592153.314","6567600.582","4616696.674"
"Q01321|NDUA4_BOVIN","59113.41511","61418.8141","78272.08675","162463.1825","165408.7773","260895.4812","44063.73028","27853.0609","14506.77168","154512.2245","54627.70313","21999.81447","94320.72025","22914.76694","39329.0935","41853.80288","35691.97328","35105.66556","43610.00913","27061.35745","23201.99738","78958.86512","32283.82642","25324.36842","65276.55343","27647.62075","37389.83126","45039.52184","79801.4991","95804.14171","60881.29705","35772.44759"
"A0A3Q1LMR9|A0A3Q1LMR9_BOVIN;G3MYD7|G3MYD7_BOVIN;Q3SZB8|H3CL_BOVIN","485375.1132","578764.8514","585712.6789","657934.5466","866845.4721","511110.859","725628.6327","482819.6314","735974.0135","545897.0257","613709.3792","571672.8491","436972.8182","520453.2772","485663.4444","469801.3578","517120.193","341479.3101","446256.593","699103.468","503763.892","454392.6975","734402.4945","425918.1131","508974.2073","483751.4412","355729.9473","429998.2039","391720.4922","599979.0809","563754.8684","362712.2538"
"Q0VCI8|Q0VCI8_BOVIN","72123.08336","26877.47235","9274.98859","16908.90159","53130.13985","15988.95207","15901.20814","39370.19822","25569.34853","43043.72015","7078.975522","0","12439.79296","0","0","0","30440.9807","0","74160.9902","58636.71945","24661.43698","79664.41135","0","52172.27154","24694.38907","26095.12582","45924.62197","12959.44828","13872.10471","53905.51275","34892.56039","50137.081"
"F1N289|F1N289_BOVIN","3419.312205","16977.79251","17586.94373","0","1376.329932","42954.74495","26722.08345","6297.916618","2726.473273","25444.53912","0","984.6311838","5793.812696","3810.974715","0","0","0","0","0","0","0","0","56780.89591","0","108803.5944","16658.16649","9193.652388","20241.17314","7103.042956","26042.47142","32324.0602","13691.96207"
"F1ME21|F1ME21_BOVIN","6197814.911","9039620.224","6526761.807","5269335.022","5298668.728","7824916.182","2311558.285","2159709.432","4693989.474","6227930.658","5090769.292","10385927.24","10925872.08","8874370.427","5777927.459","7847312.464","10077425.95","3829489.376","5136054.095","7605606.118","6696558.429","9736911.234","5473554.225","9079506.562","4807209.251","5130185.655","6499425.76","5464429.015","11324568.4","4715633.085","9290864.657","4936934.735"
"A0A3Q1LPQ0|A0A3Q1LPQ0_BOVIN;F6Q9Q9|F6Q9Q9_BOVIN","177621.1339","215454.1421","128156.9408","146593.6723","253882.8178","232373.4138","202799.7754","156131.3844","144413.2485","160836.1155","224688.2658","188969.2572","123478.9872","160210.3211","169329.1916","147203.0313","171907.7611","183466.7925","126805.8221","172398.1785","174527.5337","68771.70694","130853.4798","162348.3568","106429.5469","181571.4317","65637.46537","169106.5292","132090.7577","144371.3991","88919.83987","88785.97798"
"F1N272|F1N272_BOVIN","11671058.96","11508445.69","11912037.02","7640730.315","9547219.902","9260622.716","9118167.513","8095975.644","10785589.38","15158525.17","13023893.55","15280930.69","13107516.8","16810372.94","13445179.48","13872682.93","15338015.06","14553797.9","14070449.72","14502942.94","12178255.22","19888538.19","11466869.93","19324266.39","8813664.647","11240317.4","16066438.13","14679738.27","19383475.37","11583137.01","11327918.33","12645905.02"
"Q1RMM6|Q1RMM6_BOVIN","1407220.61","729025.1628","826667.4586","1114164.268","656757.4074","1126190.675","97638.89182","96254.936","81341.29274","589069.0239","857546.9941","567844.9137","1243779.231","878507.2421","732761.8058","1308300.307","1397802.856","178360.2366","341891.7187","470975.1055","1889610.064","1540709.336","1551886.892","1379307.219","494199.5849","292330.2351","1655510.852","552084.1651","848340.9175","889265.6285","1242744.103","1310338.782"
"P52556|BLVRB_BOVIN;A0A3Q1NNJ3|A0A3Q1NNJ3_BOVIN","2111121.732","2339769.131","1424437.71","1295419.079","2450606.772","2079739.545","2100334.826","2007005.382","1499797.611","1741423.71","2683504.772","930002.579","1505190.201","2576615.954","964401.0617","1220688.863","2601967.562","2503849.424","818487.383","2440427.365","1508780.923","1234790.628","1091916.966","1129939.453","724201.0349","971480.2093","833600.7164","684343.6347","1081551.154","1128534.692","1115732.451","854231.8395"
"G3MWJ8|G3MWJ8_BOVIN","11641.25576","5806.721337","8257.046952","17537.06148","12405.95454","10429.96365","10642.57563","6779.664923","4116.021183","11929.78374","14018.31246","11767.51626","12081.72095","13115.47821","12853.81369","10451.27991","5920.935919","11997.24464","13455.18966","22253.17745","13880.0133","15410.87392","15774.15186","11550.56587","11183.26564","12635.52492","14373.2201","18724.96001","14281.5609","9237.246223","22310.43469","17732.96024"
"Q32PH8|EF1A2_BOVIN;P68103|EF1A1_BOVIN;E1B9F6|E1B9F6_BOVIN;A0A3Q1LJW9|A0A3Q1LJW9_BOVIN;A0A3Q1LP48|A0A3Q1LP48_BOVIN","14011000.58","14097914.59","19016826.77","18406595.01","13188992.59","17126051.84","14734533.89","13212279.56","13100737.4","14044134.89","14452974.69","12529692.61","19614639.15","13702349.16","14115362.56","14544898.48","17145633.15","15994828.47","15493660.25","16813512.92","15696313.08","17273553.33","14600485.65","13704824.73","11496779.79","14620071.21","14825404.97","11871013","19086058.34","11319405.08","18597390.39","16102883"
"F1MRC2|F1MRC2_BOVIN;Q9BE41|MYH2_BOVIN","132545723.5","214485590.7","133231130.5","160490646","150184389.2","93484106.74","220101613.9","201693067.7","179921995.8","111818043.9","104891243.1","94101344.73","117964176.2","119761640.7","120527083.9","128117686.1","123638251.7","274868933.2","145691891.6","106102588","130354311.4","101172251.2","77084761.62","86720289.56","60805666.45","102775224.8","93249985.73","138022876.3","114811423.4","95228939.94","93522397.07","106455711.7"
"Q3SZX4|CAH3_BOVIN","357320646.6","592723879.9","630430456.2","736942500","449134884.4","448501689.1","475375084.5","607266993","410555274.1","326912185.9","409044605","185105630.2","664300140.5","332917849","295293128.7","294007315.9","517858382","652087839","531701168.1","374100863.3","562237832.9","747996523.1","591712867.3","424721476.9","347238744.4","496784909.7","414308707","264425750.8","446307178.3","529067551.7","412205455.1","394503331.1"
"F1N7H0|F1N7H0_BOVIN","8423.505058","64740.91753","42176.91034","1089.353262","16755.03917","90067.45096","50293.96923","14861.83473","1714.856075","4189.569377","0","0","1385.128574","0","0","0","0","0","825.2601192","6079.617229","340.2809348","3415.50746","247524.4878","2380.024481","74040.01861","43138.24659","23996.52097","9631.058317","4200.199748","31828.43529","5160.784628","20805.03719"
"Q5KR47|TPM3_BOVIN;Q0VBX6|Q0VBX6_BOVIN","3470990.812","3345063.6","1379714.057","2564120.406","2948021.786","2524009.186","5254543.581","4902024.297","4010972.916","2826333.877","2464960.693","979510.3773","2208624.439","1326919.293","2323775.852","1520504.278","1662177.213","4380082.891","1608488.746","1647504.206","2394148.313","1292707.228","2248204.902","1950283.972","3523843.204","2789892.822","1491720.248","2809528.184","1118209.411","2564627.782","947416.9538","2004120.494"
"A0A3Q1LJS2|A0A3Q1LJS2_BOVIN","217375.8388","166905.1624","487128.3741","93605.43995","150149.1347","596026.105","554351.883","43839.98478","41506.69335","263065.9694","84651.61473","30564.40887","212479.2517","89902.72595","54382.27705","206750.3662","44626.21177","99820.39902","91067.63315","64043.80321","254780.5516","268273.9387","3611897.847","1266949.455","6028248.119","3934753.309","1867146.942","630985.7808","298225.5617","1756792.023","322016.0119","1914171.022"
"E1BH96|E1BH96_BOVIN","12441.19792","15531.94456","7260.238101","25140.59822","15584.69685","17576.70753","14432.57811","14380.10071","13062.58472","9442.946149","9343.202704","5007.372598","10255.31755","8739.63631","6693.380849","10000.99451","9516.26082","8506.684339","4595.362211","7451.006184","9800.893954","10208.07092","9609.888851","9142.351471","13505.17715","7613.99878","13002.43811","16934.46479","7879.091995","10804.78946","3389.125861","5083.359535"
"P02722|ADT1_BOVIN;Q8SQH5|ADT2_BOVIN;A0A3Q1MF55|A0A3Q1MF55_BOVIN;P32007|ADT3_BOVIN;A0A3Q1LTX1|A0A3Q1LTX1_BOVIN;A0A3Q1ME66|A0A3Q1ME66_BOVIN;F1MDK8|F1MDK8_BOVIN","19152714.89","17024738.87","16271827.31","22456911.14","31465575.37","35722095.83","20455641.86","20300647.29","13479788.32","20418341.16","26233912.08","14067472.43","19982383.08","19292820.1","19748481.11","22772050.04","28458349.69","21211999.32","17367972.27","19909231.86","23761261.21","15819686.65","25006785.72","23456638.84","15897753.33","19307628.88","22660681.14","15785303.49","15176271.41","16311402.16","26059772.72","25976212.68"
"Q2TBQ3|GAMT_BOVIN","52790.80004","78975.38571","16988.16204","34886.06824","77538.00534","47017.09704","94646.00654","62263.79905","14276.04733","69794.56908","90870.85384","25562.69278","50167.53688","66709.45232","28070.00207","26867.25142","103549.5425","73945.69171","29872.38149","102199.5157","47759.53224","18920.48248","21494.45345","28018.77117","7592.634503","12765.56859","14451.76629","12403.82218","27794.14061","31737.88165","19201.30814","22124.06553"
"A2VDL6|AT1A2_BOVIN","1343509.132","1407777.783","1890296.023","1624817.333","1256121.804","1675627.433","1275384.16","1753389.019","1301482.703","1214808.536","1207710.634","1683192.746","1753048.266","1648215.046","1462339.906","1536070.865","1755021.102","1661298.257","1117639.744","1295294","1359344.124","1584402.815","1287002.785","1404500.869","1090035.341","1455863.491","1402386.273","1071481.043","1496048.643","1222562.207","2418907.219","1866566.71"
"G3MZ95|G3MZ95_BOVIN;A0A3Q1LZP8|A0A3Q1LZP8_BOVIN;Q3T173|Q3T173_BOVIN","18005748.61","22182761.23","27366737.92","19971971.23","21683912.94","23970583.98","21965557.56","19668527.88","18146223.98","18366456.99","18254318.08","9102544.946","22733016.09","20007137.12","17165044.34","12936906.74","23586846.64","24796240.92","21918741.97","18202659.46","28960572.46","23232315.14","27796204.59","17645332.4","17660869.56","24453743.25","22677719.81","15953806.37","13213688.63","18530583.56","28975938.85","20410204.48"
"A0A3Q1LPY4|A0A3Q1LPY4_BOVIN","17713.18946","17270.34867","32219.18453","9220.865572","29424.99449","11067.09122","96560.80062","16468.79509","25668.38438","37720.30441","21369.51347","0","18913.25171","12652.57643","45046.52245","6514.069902","5526.473103","37619.78237","43045.30572","33189.81109","15294.07138","18753.92632","33008.60309","0","12390.88141","29735.09044","4605.697962","11411.87484","13963.51921","12740.86466","33513.7166","24375.24773"
"A0A3Q1M6F2|A0A3Q1M6F2_BOVIN","8831128.512","9013781.559","9449573.882","10351876.32","8289000.932","8612089.821","6964284.575","8102448.364","7612119.282","7572445.517","6938705.637","7906709.936","7941935.729","7644236.866","7830110.067","6505498.906","8796976.039","8889198.573","6917784.631","6844203.516","7681434.245","7744597.636","7375812.162","7715699.242","7191258.858","7252331.405","9834663.198","7685116.573","9198769.488","10259644.7","7778282.114","10227697.03"
"E1BII7|E1BII7_BOVIN","2024398.235","2091531.568","2528282.807","2073707.28","2042342.514","2105239.393","1661035.965","2077024.92","2020414.417","1963816.033","2015781.142","2215409.306","2263216.313","2419143.6","1991434.036","2070628.678","2324411.192","2409345.068","1935896.499","2008681.473","2168665.102","2457264.26","2156007.965","2096739.108","1741598.997","2023310.76","2116455.356","1675764.464","2060147.876","2028331.421","2633275.15","2313237.675"
"A0A3Q1MGW9|A0A3Q1MGW9_BOVIN","4677664.942","4746377.354","3593790.469","5412684.979","4558567.559","3743159.376","4214647.906","4522674.13","4414187.95","3258729.453","4057089.15","5819295.125","4393503.316","4352027.502","5903921.873","5198066.58","4229088.047","4833612.01","5228192.9","4597004.77","4227821.098","4244652.544","4663673.374","4514920.492","5302754.457","4110391.953","4089948.136","4516633.418","3955263.514","4044883.473","4442420.748","4977592.261"
"Q3T0D7|SAR1A_BOVIN;Q3T0T7|SAR1B_BOVIN","210692.7143","259726.1591","66197.63224","150215.265","151843.1486","170259.4971","228715.5077","241423.6872","73994.37308","241130.6782","297241.4996","87648.37605","213546.3384","197610.1797","101736.9515","198442.3729","315118.4877","233182.193","94954.10545","266725.0376","207878.741","147051.5071","61774.68864","70174.52839","43367.77808","85260.75708","65838.24902","143080.7049","143986.2914","152103.0253","64802.27442","54187.2513"
"P11116|LEG1_BOVIN","3712275.186","3248890.291","2652604.79","3140940.697","2529148.213","2222301.974","3453548.303","4400520.782","2317657","4007358.122","4434318.848","1617571.764","2259035.243","2277516.797","2231398.739","1482108.745","2528408.689","2914363.612","2352109.036","3567728.388","2902612.432","1650243.341","2016749.716","2920976.776","2885624.895","2564301.929","2011155.639","2108702.537","2074436.825","3002827.626","3328819.346","2471881.016"
"Q32PA8|AAMDC_BOVIN","908241.4713","853718.4139","1606456.562","419199.3735","763475.2867","1530581.731","856138.9148","1065204.84","787477.3674","2006468.943","1030289.99","700309.5808","836869.1874","1300341.857","468468.6057","819204.5052","1145845.57","1024180.071","452236.6875","1618751.357","622060.1779","865009.4085","388462.2868","862360.5598","388368.5035","664618.1982","860063.494","756830.987","1114021.407","571508.7175","1268244.742","565134.8884"
"A0A3Q1LG75|A0A3Q1LG75_BOVIN","2361534.014","2364643.29","358652.6701","5904459.647","2733301.171","322208.4463","2840466.245","478021.8805","1805655.857","478011.7886","2086710.091","1138958.707","2429452.995","1606331.221","5878661.672","5667736.421","1814707.507","1711152.804","7962124.398","1702656.426","11548604.85","3231158.797","9628728.441","17651760.1","5871388.686","12238287.65","8452375.594","11529645.31","1549792.722","8563465.077","2275875.962","6325798.614"
"A0A3Q1LG34|A0A3Q1LG34_BOVIN","361851.8766","305041.2212","199123.1345","359854.6366","298363.4906","165229.6856","163155.0962","214702.3271","83796.77448","189818.9511","376707.3673","355785.8248","316096.8409","334195.7628","373996.9173","256232.0072","412636.7258","208498.9941","405146.4143","391473.6072","428640.7781","381803.3956","338318.6117","437334.0911","241537.0247","207060.6583","398488.4108","191696.5112","271348.5203","394814.7764","214914.6559","428710.9178"
"E1B7R0|E1B7R0_BOVIN","201306.6133","105944.7877","62440.79261","309384.9491","224420.2682","542787.7493","122718.8701","85186.99076","22343.89602","107028.4588","380784.7727","112015.0255","300276.4306","208595.6235","220498.8195","246091.0149","607987.0419","240777.1929","80371.84131","218466.718","408894.2798","214618.3155","296611.0816","378441.9926","104672.4984","199491.1451","361737.1288","163386.8286","118193.9268","195957.4253","492548.0478","507930.6945"
"E1BAJ4|E1BAJ4_BOVIN","17172.38376","22140.28895","18865.27839","75.1617396","97873.51314","15567.87671","125900.8281","81650.99233","132329.0044","114554.3218","68887.76202","21994.23677","69047.41944","43657.20519","64419.78306","81792.24101","80096.6498","119761.9146","68246.68473","81594.80645","34191.95453","13883.64478","30054.27573","30222.31796","16947.6822","42326.30582","60402.52278","86108.72732","32678.43433","51926.98799","29450.28296","31076.1363"
"Q3ZCK9|PSA4_BOVIN","371611.0203","477471.488","588627.3699","507458.8224","532910.3014","516520.1593","520309.1711","462432.5495","553823.5238","589353.9314","446864.7247","380467.5367","407070.7017","409041.8551","373593.4999","368060.8519","403113.9865","431560.9734","394038.8178","399951.9582","492309.7445","431193.0567","447562.617","302822.4348","352179.7666","369724.3076","419952.4738","537219.1336","457428.6316","370860.0815","520137.9825","383323.4379"
"F1N1F0|F1N1F0_BOVIN","27894.69417","50854.37574","26590.4689","78552.53965","52548.88437","45261.72123","52129.75559","60619.05625","57502.06172","25407.38388","26133.09025","7710.966977","42908.24414","30414.82603","4170.803841","3000.445365","28646.49896","29799.53695","23524.13338","26003.96323","31622.01021","32497.8799","50843.05182","37019.31393","55148.87271","34887.61678","55965.39578","7810.122495","1949.104604","64899.7041","25408.59642","43188.36773"
"A0A452DJA3|A0A452DJA3_BOVIN","71029.73087","66930.15253","43455.40759","92095.81399","103711.2309","142748.3017","68263.62162","73143.99459","58919.6114","68692.83558","93260.45151","7988.148628","97066.5945","43162.13548","41122.85358","51482.07133","53538.38847","57052.08379","65430.20158","42265.72434","92879.24165","76407.52662","111012.7914","68710.12208","121837.3143","79599.54674","89432.98069","66071.13756","28653.2706","62721.6224","88974.63728","89420.65777"
"A0A3S5ZPC5|A0A3S5ZPC5_BOVIN","21479.41913","18795.40935","3233.54008","13074.95588","17479.12797","23201.46099","35120.03237","27221.53261","7455.361075","12180.50364","33272.58287","14346.48254","8916.97863","10043.51665","27934.17395","22099.35207","10225.95336","19061.39998","11817.29166","22776.082","13531.62777","17310.37115","14523.64937","4738.783668","9880.475371","17111.67038","16907.11977","18785.6485","20456.59193","15550.00204","13627.82148","9699.446283"
"A0A3Q1MHC4|A0A3Q1MHC4_BOVIN","145992.2332","154574.6978","79924.80197","41467.66252","30789.65802","146784.4791","66364.83429","140918.3363","137389.4165","118297.969","129045.1169","44345.14048","56960.73161","47551.96083","61466.62395","99734.79835","128586.7846","244337.6017","112280.518","135442.8885","99046.96665","99950.00179","149125.616","41437.6663","157873.6333","109735.8432","224422.126","81926.56987","68558.8025","89145.20647","108711.5777","282346.0193"
